; CSV file generated by FPGA Logic Analyzer
; Sample Rate: 1000000 Hz
; Channels: 8, Samples: 49152
;
time,CH0,CH1,CH2,CH3,CH4,CH5,CH6,CH7
0.006664000,1,1,1,1,1,1,1,1
0.006665000,1,1,1,1,1,1,1,1
0.006666000,1,1,1,1,1,1,1,1
0.006667000,1,1,1,1,1,1,1,1
0.006668000,1,1,1,1,1,1,1,1
0.006669000,1,1,1,1,1,1,1,1
0.006670000,1,1,1,1,1,1,1,1
0.006671000,1,1,1,1,1,1,1,1
0.006672000,1,1,1,1,1,1,1,1
0.006673000,1,1,1,1,1,1,1,1
0.006674000,1,1,1,1,1,1,1,1
0.006675000,1,1,1,1,1,1,1,1
0.006676000,1,1,1,1,1,1,1,1
0.006677000,1,1,1,1,1,1,1,1
0.006678000,1,1,1,1,1,1,1,1
0.006679000,1,1,1,1,1,1,1,1
0.006680000,1,1,1,1,1,1,1,1
0.006681000,1,1,1,1,1,1,1,1
0.006682000,1,1,1,1,1,1,1,1
0.006683000,1,1,1,1,1,1,1,1
0.006684000,1,1,1,1,1,1,1,1
0.006685000,1,1,1,1,1,1,1,1
0.006686000,1,1,1,1,1,1,1,1
0.006687000,1,1,1,1,1,1,1,1
0.006688000,1,1,1,1,1,1,1,1
0.006689000,1,1,1,1,1,1,1,1
0.006690000,1,1,1,1,1,1,1,1
0.006691000,1,1,1,1,1,1,1,1
0.006692000,1,1,1,1,1,1,1,1
0.006693000,1,1,1,1,1,1,1,1
0.006694000,1,1,1,1,1,1,1,1
0.006695000,1,1,1,1,1,1,1,1
0.006696000,1,1,1,1,1,1,1,1
0.006697000,1,1,1,1,1,1,1,1
0.006698000,1,1,1,1,1,1,1,1
0.006699000,1,1,1,1,1,1,1,1
0.006700000,1,1,1,1,1,1,1,1
0.006701000,1,1,1,1,1,1,1,1
0.006702000,1,1,1,1,1,1,1,1
0.006703000,1,1,1,1,1,1,1,1
0.006704000,1,1,1,1,1,1,1,1
0.006705000,1,1,1,1,1,1,1,1
0.006706000,1,1,1,1,1,1,1,1
